case_id,case_type,victim_traveler_id,suspect_traveler_id,origin_country_id,transit_country_id,destination_country_id,reported_date,status,victim_age_at_time,victim_gender
1149,Debt Bondage,117384,129279,26,1,10,2025-08-10,Closed,24,M
1150,Child,149811,37217,3,4,9,2025-03-21,Closed,15,M
1151,Child,39791,,18,4,10,2025-09-11,Prosecuted,11,M
1152,Labor,90980,24492,1,1,33,2025-08-27,Under Investigation,26,M
1153,Domestic Servitude,5200,107400,28,10,9,2025-08-22,Prosecuted,45,F
1154,Forced Marriage,37539,,6,10,9,2025-08-05,Under Investigation,20,F
1155,Sexual,98708,49195,22,,37,2025-04-07,Prosecuted,26,M
1156,Labor,58812,138370,26,10,9,2025-05-12,Under Investigation,46,M
1157,Debt Bondage,100200,131931,1,1,10,2025-12-25,Open,51,M
1158,Labor,37009,119185,2,,34,2025-09-26,Under Investigation,47,M
1159,Organ,33644,28674,6,,1,2025-12-12,Under Investigation,38,M
1160,Labor,2224,136959,6,,9,2025-06-09,Under Investigation,48,M
1161,Other,6649,,18,4,10,2025-09-27,Closed,20,M
1162,Labor,55762,,1,4,31,2025-06-27,Under Investigation,42,M
1163,Domestic Servitude,48971,128926,6,1,33,2025-12-22,Convicted,26,F
1164,Forced Marriage,66037,15436,1,,9,2025-05-25,Under Investigation,14,F
1165,Labor,107497,64939,3,1,33,2025-02-14,Prosecuted,22,M
1166,Sexual,26189,71451,21,,13,2025-12-02,Under Investigation,33,F
1167,Forced Marriage,136968,133037,6,10,11,2025-12-22,Under Investigation,29,F
1168,Debt Bondage,34790,35393,1,,9,2025-07-04,Prosecuted,37,F
1169,Forced Marriage,62530,4615,6,1,10,2025-12-13,Prosecuted,27,F
1170,Child,19606,,1,4,4,2025-04-13,Under Investigation,10,M
1171,Domestic Servitude,66810,11510,6,1,33,2025-08-15,Prosecuted,33,F
1172,Child,27895,126627,18,4,1,2025-12-05,Under Investigation,10,M
1173,Debt Bondage,70833,59149,6,1,10,2025-01-14,Closed,48,M
1174,Forced Marriage,110390,107173,1,10,10,2025-04-19,Prosecuted,22,F
1175,Labor,17279,22300,26,1,32,2025-09-20,Convicted,29,M
1176,Domestic Servitude,126738,82904,21,,10,2025-04-17,Prosecuted,23,F
1177,Child,67045,,1,1,9,2025-07-24,Open,8,F
1178,Labor,5303,,2,1,33,2025-11-20,Prosecuted,34,M
1179,Domestic Servitude,125920,80802,28,10,10,2025-05-10,Prosecuted,30,F
1180,Forced Marriage,121707,106809,3,10,9,2025-12-19,Under Investigation,20,F
1181,Labor,,,26,10,31,2025-05-22,Prosecuted,50,M
1182,Child,101860,,1,4,1,2025-01-11,Under Investigation,5,F
1183,Sexual,71924,125922,22,12,10,2025-08-22,Under Investigation,30,F
1184,Labor,147963,,3,10,32,2025-10-18,Prosecuted,46,F
1185,Organ,101613,68081,1,,1,2025-05-26,Acquitted,46,M
1186,Child,3063,73388,1,,1,2025-10-03,Open,16,F
1187,Other,105956,31879,16,12,10,2025-06-15,Closed,50,F
1188,Sexual,96868,147778,21,1,13,2025-02-09,Closed,31,F
1189,Forced Marriage,119610,,3,10,10,2025-01-03,Under Investigation,24,F
1190,Other,67399,,3,,8,2025-11-12,Open,16,F
1191,Labor,25345,96669,1,4,9,2025-11-16,Acquitted,24,M
1192,Organ,92009,80921,1,,1,2025-12-07,Closed,28,F
1193,Labor,144414,,3,,9,2025-04-09,Open,30,M
1194,Child,48667,87510,3,,4,2025-02-26,Convicted,17,M
1195,Other,69160,,16,,10,2025-08-15,Closed,44,F
1196,Labor,,17898,26,1,32,2025-06-04,Under Investigation,26,M
1197,Child,22552,114504,18,1,4,2025-10-15,Under Investigation,11,M
1198,Domestic Servitude,49402,93852,6,,33,2025-09-24,Prosecuted,43,F
1199,Forced Marriage,24015,,6,10,8,2025-12-14,Convicted,19,F
1200,Labor,16362,,26,10,9,2025-04-06,Closed,31,M
1201,Labor,50321,71213,1,,9,2025-02-07,Acquitted,44,M
1202,Other,,45228,3,1,8,2025-09-24,Closed,18,F
1203,Forced Marriage,96493,4118,1,10,11,2025-07-06,Prosecuted,23,F
1204,Child,105188,,18,1,4,2025-07-01,Under Investigation,11,M
1205,Child,113777,102697,18,1,10,2025-11-10,Closed,15,F
1206,Sexual,49555,60954,20,4,8,2025-08-20,Open,17,F
1207,Forced Marriage,101253,96480,3,10,11,2025-09-20,Closed,17,F
1208,Debt Bondage,31182,94946,3,1,1,2025-09-17,Convicted,30,F
1209,Forced Marriage,79244,97961,1,1,11,2025-10-15,Under Investigation,15,F
1210,Domestic Servitude,106419,139218,28,,31,2025-11-01,Closed,23,M
1211,Domestic Servitude,42856,,6,10,9,2025-02-16,Under Investigation,22,F
1212,Domestic Servitude,30925,18896,26,10,31,2025-02-05,Prosecuted,33,F
1213,Labor,53124,140956,6,4,9,2025-07-07,Closed,22,M
1214,Forced Marriage,83592,,3,,8,2025-04-13,Convicted,14,F
1215,Other,39106,,18,12,13,2025-05-26,Prosecuted,24,F
1216,Domestic Servitude,44272,,6,10,33,2025-02-23,Under Investigation,27,F
1217,Sexual,74125,124279,28,4,10,2025-10-02,Under Investigation,23,F
1218,Forced Marriage,66964,,3,10,11,2025-08-28,Prosecuted,28,F
1219,Organ,67511,,1,,1,2025-11-21,Closed,23,M
1220,Child,,,18,,1,2025-10-03,Prosecuted,6,M
1221,Forced Marriage,,107316,6,,8,2025-04-07,Under Investigation,26,F
1222,Sexual,55648,29310,21,,10,2025-03-20,Open,25,F
1223,Sexual,113669,30560,22,12,12,2025-04-01,Under Investigation,34,F
1224,Domestic Servitude,145648,122347,21,,9,2025-02-19,Under Investigation,34,M
1225,Debt Bondage,29669,,6,1,1,2025-08-16,Open,52,M
1226,Organ,110055,61229,3,,1,2025-10-21,Acquitted,46,M
1227,Sexual,114802,2957,20,,37,2025-10-04,Closed,20,F
1228,Forced Marriage,148701,55126,1,10,9,2025-12-23,Prosecuted,18,F
1229,Child,4552,64973,18,1,1,2025-05-05,Under Investigation,17,F
1230,Organ,136617,132978,6,,1,2025-08-13,Under Investigation,47,M
1231,Child,100691,,18,1,4,2025-06-18,Prosecuted,8,F
1232,Domestic Servitude,2222,,26,,31,2025-01-27,Open,36,F
1233,Other,118167,,17,,9,2025-02-09,Closed,29,M
1234,Domestic Servitude,21942,,21,15,31,2025-03-12,Closed,28,F
1235,Child,113326,,18,,1,2025-11-11,Convicted,9,F
1236,Domestic Servitude,97385,,21,1,33,2025-11-06,Acquitted,24,F
1237,Domestic Servitude,82234,25183,6,10,33,2025-01-21,Prosecuted,36,F
1238,Domestic Servitude,32311,102538,6,15,9,2025-04-16,Acquitted,34,F
1239,Other,95974,,16,4,8,2025-09-08,Open,28,M
1240,Labor,104486,,3,10,10,2025-11-12,Prosecuted,19,M
1241,Forced Marriage,85745,63911,3,,8,2025-04-07,Prosecuted,15,F
1242,Labor,27210,69022,26,1,9,2025-08-24,Under Investigation,41,M
1243,Domestic Servitude,27947,,21,,10,2025-05-28,Prosecuted,43,M
1244,Labor,16389,54271,6,,10,2025-03-01,Acquitted,31,M
1245,Sexual,83226,37142,28,12,12,2025-01-26,Under Investigation,19,F
1246,Domestic Servitude,104253,,6,10,33,2025-05-01,Open,45,F
1247,Labor,53778,129578,6,10,9,2025-01-25,Acquitted,34,M
1248,Organ,113941,,1,,1,2025-09-06,Under Investigation,29,M
1249,Child,136997,95415,3,,9,2025-10-23,Acquitted,11,F
1250,Labor,133659,,6,,34,2025-02-06,Under Investigation,44,M
1251,Labor,7370,,1,1,32,2025-08-06,Open,43,M
1252,Debt Bondage,84756,,26,1,9,2025-09-16,Closed,26,M
1253,Child,128811,56599,18,,10,2025-06-11,Under Investigation,13,F
1254,Child,,,18,,9,2025-11-06,Under Investigation,9,F
1255,Labor,49777,87233,2,10,10,2025-07-04,Closed,47,F
1256,Domestic Servitude,8933,,21,,33,2025-09-27,Under Investigation,33,F
1257,Labor,119411,86992,3,,34,2025-04-05,Closed,37,M
1258,Labor,17904,,1,,33,2025-04-24,Acquitted,41,M
1259,Domestic Servitude,10033,28616,28,,10,2025-11-18,Under Investigation,23,M
1260,Organ,7810,84228,3,,1,2025-12-06,Under Investigation,42,M
1261,Sexual,85073,75395,6,12,13,2025-03-01,Under Investigation,18,F
1262,Domestic Servitude,,,6,1,10,2025-01-09,Under Investigation,32,F
1263,Labor,12400,24283,3,1,32,2025-10-03,Prosecuted,49,F
1264,Other,143900,70915,17,4,10,2025-02-10,Under Investigation,24,F
1265,Labor,108715,107458,6,10,33,2025-12-13,Open,22,M
1266,Child,7426,112451,22,,1,2025-01-24,Prosecuted,6,M
1267,Sexual,121751,25835,22,1,10,2025-05-17,Prosecuted,16,F
1268,Labor,147885,,2,,31,2025-11-04,Open,27,M
1269,Debt Bondage,87566,,1,,1,2025-06-24,Prosecuted,48,M
1270,Sexual,38860,51374,6,1,10,2025-05-20,Prosecuted,31,F
1271,Labor,78053,27174,6,1,31,2025-12-10,Prosecuted,27,M
1272,Debt Bondage,32481,85682,6,1,9,2025-01-16,Convicted,22,M
1273,Domestic Servitude,10854,,6,10,10,2025-07-02,Under Investigation,40,F
1274,Organ,119279,120677,3,,1,2025-08-07,Closed,41,M
1275,Labor,127523,107516,3,,10,2025-02-15,Prosecuted,48,M
1276,Labor,141453,23493,2,4,33,2025-08-15,Prosecuted,20,M
1277,Domestic Servitude,33887,,28,15,33,2025-01-25,Prosecuted,30,M
1278,Labor,119032,,1,4,31,2025-08-18,Open,37,M
1279,Labor,651,,3,,31,2025-08-01,Prosecuted,22,M
1280,Domestic Servitude,146881,42118,21,15,10,2025-11-17,Closed,26,F
1281,Other,133935,,3,1,8,2025-07-11,Convicted,33,M
1282,Labor,100113,,26,1,9,2025-10-11,Closed,38,F
1283,Labor,61091,,6,10,34,2025-12-09,Prosecuted,28,M
1284,Debt Bondage,132797,128456,6,1,10,2025-01-08,Under Investigation,17,M
1285,Child,29172,59308,18,,10,2025-04-13,Closed,16,M
1286,Organ,29572,,6,,1,2025-10-08,Under Investigation,21,M
1287,Forced Marriage,84803,65867,1,10,11,2025-12-03,Under Investigation,27,F
1288,Domestic Servitude,121982,117616,6,10,31,2025-02-28,Open,30,F
1289,Organ,107701,,6,,1,2025-01-22,Convicted,49,F
1290,Labor,127150,,6,10,34,2025-10-23,Open,48,M
1291,Labor,17694,121008,6,10,9,2025-07-13,Prosecuted,42,M
1292,Sexual,34190,56252,20,,37,2025-07-24,Open,26,M
1293,Sexual,54349,92871,6,4,12,2025-05-26,Convicted,31,F
1294,Domestic Servitude,46989,5500,28,,33,2025-07-27,Acquitted,28,F
1295,Child,79650,92670,18,,10,2025-12-13,Closed,14,M
1296,Organ,141005,,1,,1,2025-01-08,Prosecuted,29,M
1297,Debt Bondage,12477,,26,1,10,2025-01-06,Prosecuted,48,M
1298,Labor,112523,,6,,34,2025-03-04,Under Investigation,40,M
1299,Organ,115812,,1,,1,2025-12-21,Convicted,30,F
1300,Domestic Servitude,75646,79924,28,,31,2025-05-25,Prosecuted,38,F
1301,Domestic Servitude,112363,17583,28,10,10,2025-02-24,Under Investigation,31,F
1302,Forced Marriage,144751,62549,3,1,11,2025-02-17,Under Investigation,23,F
1303,Sexual,84518,72943,28,,12,2025-04-26,Closed,29,F
1304,Child,93632,,3,1,1,2025-07-03,Closed,11,M
1305,Organ,131005,33653,6,,1,2025-11-27,Closed,20,M
1306,Child,31197,84622,18,1,1,2025-01-21,Acquitted,11,F
1307,Labor,143226,149676,6,4,10,2025-01-14,Under Investigation,34,M
1308,Child,143699,93357,18,1,1,2025-11-24,Convicted,5,F
1309,Child,52074,142974,22,4,1,2025-08-07,Convicted,17,F
1310,Other,63822,45830,17,4,10,2025-08-05,Under Investigation,24,M
1311,Labor,130268,70425,3,4,10,2025-05-12,Closed,26,M
1312,Sexual,129650,,21,,12,2025-08-08,Closed,21,F
1313,Other,,,18,,8,2025-06-09,Under Investigation,40,F
1314,Domestic Servitude,7413,58860,28,10,10,2025-08-12,Acquitted,39,F
1315,Labor,106645,137889,2,4,32,2025-09-27,Prosecuted,48,M
1316,Organ,1968,143954,3,,1,2025-01-08,Prosecuted,30,M
1317,Debt Bondage,22767,7676,1,1,9,2025-04-20,Under Investigation,33,F
1318,Other,3238,55181,18,4,10,2025-01-08,Prosecuted,37,F
1319,Domestic Servitude,110944,,26,,9,2025-08-19,Under Investigation,26,M
1320,Organ,59644,,1,,1,2025-06-01,Under Investigation,31,M
1321,Labor,80984,,2,4,32,2025-09-14,Prosecuted,50,M
1322,Organ,144369,72126,1,,1,2025-02-22,Closed,37,M
1323,Labor,61505,,3,,34,2025-03-15,Closed,22,M
1324,Organ,49336,146824,1,,1,2025-09-08,Under Investigation,35,M
1325,Labor,134494,,1,,9,2025-02-11,Closed,43,M
1326,Sexual,134505,111417,22,12,8,2025-05-23,Under Investigation,30,F
1327,Organ,87359,,6,,1,2025-10-22,Under Investigation,24,M
1328,Labor,112840,,2,,34,2025-07-20,Under Investigation,41,M
1329,Labor,143516,61236,1,,32,2025-01-15,Prosecuted,40,M
1330,Child,95099,124439,18,1,10,2025-12-25,Under Investigation,14,M
1331,Domestic Servitude,37197,92043,6,15,31,2025-04-13,Under Investigation,21,F
1332,Domestic Servitude,108747,45014,21,15,9,2025-08-07,Closed,37,F
1333,Domestic Servitude,80626,130291,28,,9,2025-03-12,Closed,40,F
1334,Domestic Servitude,13790,942,21,15,31,2025-01-11,Convicted,21,M
1335,Organ,24830,,1,,1,2025-08-12,Convicted,24,M
1336,Domestic Servitude,56717,,21,10,31,2025-04-03,Open,24,F
1337,Labor,141897,77028,26,10,33,2025-05-27,Convicted,33,M
1338,Organ,120553,10515,6,,1,2025-08-22,Open,20,F
1339,Domestic Servitude,47447,,26,15,33,2025-01-04,Closed,41,F
1340,Domestic Servitude,13752,22641,6,,31,2025-03-17,Under Investigation,43,F
1341,Domestic Servitude,113540,8536,26,10,9,2025-12-08,Under Investigation,34,F
1342,Labor,75211,53016,26,4,9,2025-12-08,Under Investigation,18,M
1343,Labor,97754,146644,2,,31,2025-11-12,Convicted,36,M
1344,Domestic Servitude,6910,,26,1,9,2025-09-12,Closed,32,M
1345,Organ,91041,,3,,1,2025-04-13,Closed,35,F
1346,Domestic Servitude,89092,,21,,9,2025-02-25,Under Investigation,22,F
1347,Child,121960,41549,1,1,9,2025-09-11,Prosecuted,13,M
1348,Labor,79786,102347,6,1,34,2025-08-17,Under Investigation,28,M
1349,Forced Marriage,3503,,6,,8,2025-10-14,Prosecuted,23,F
1350,Labor,131951,147510,6,4,31,2025-05-08,Under Investigation,34,M
1351,Labor,,,3,,32,2025-02-19,Prosecuted,26,M
1352,Domestic Servitude,71922,119314,6,10,10,2025-11-12,Under Investigation,39,M
1353,Child,111242,,3,4,4,2025-06-10,Prosecuted,16,F
1354,Labor,108184,,26,4,34,2025-02-17,Under Investigation,50,M
1355,Debt Bondage,7741,9849,26,1,9,2025-04-14,Prosecuted,32,F
1356,Labor,74685,,26,,9,2025-01-13,Open,38,M
1357,Forced Marriage,74588,,3,,8,2025-09-01,Prosecuted,22,F
1358,Debt Bondage,23009,66306,6,1,9,2025-07-27,Acquitted,43,M
1359,Forced Marriage,144650,62543,1,1,9,2025-12-06,Under Investigation,21,F
1360,Organ,45098,,6,,1,2025-01-05,Open,28,F
1361,Organ,140447,92971,3,,1,2025-04-10,Closed,34,F
1362,Labor,35814,79645,6,,10,2025-12-15,Prosecuted,28,M
1363,Organ,96361,114398,3,,1,2025-08-07,Under Investigation,24,F
1364,Child,73567,,22,4,1,2025-05-28,Prosecuted,17,F
1365,Domestic Servitude,55325,,28,,10,2025-11-06,Closed,45,F
1366,Labor,86138,17298,3,,33,2025-04-28,Under Investigation,36,M
1367,Child,18312,93835,1,4,10,2025-10-04,Under Investigation,15,F
1368,Labor,14604,17159,6,4,10,2025-06-01,Under Investigation,33,F
1369,Child,80106,24049,22,1,9,2025-01-01,Closed,9,F
1370,Domestic Servitude,149566,25424,6,10,31,2025-03-12,Under Investigation,30,F
1371,Organ,87860,78588,3,,1,2025-06-01,Open,50,F
1372,Debt Bondage,138518,107841,3,1,1,2025-08-24,Acquitted,19,M
1373,Debt Bondage,96682,12995,26,1,1,2025-03-04,Open,44,M
1374,Labor,140682,,1,,33,2025-04-09,Open,38,M
1375,Other,78334,76030,3,1,9,2025-10-14,Acquitted,29,F
1376,Domestic Servitude,55218,103898,26,1,31,2025-11-23,Convicted,25,F
1377,Child,142658,120235,22,,10,2025-01-13,Acquitted,7,M
1378,Domestic Servitude,18352,19575,21,1,10,2025-08-23,Closed,43,F
1379,Labor,91415,,1,10,31,2025-06-11,Prosecuted,47,M
1380,Organ,106531,20786,1,,1,2025-08-23,Closed,23,M
1381,Labor,122272,29631,6,10,31,2025-04-10,Under Investigation,45,M
1382,Labor,137061,,1,,32,2025-03-19,Under Investigation,41,M
1383,Forced Marriage,97088,9300,6,,9,2025-04-27,Closed,15,F
1384,Sexual,29003,83091,22,4,37,2025-08-28,Prosecuted,18,M
1385,Other,10667,,3,,10,2025-08-18,Prosecuted,33,F
1386,Debt Bondage,415,,6,1,10,2025-07-12,Convicted,44,F
1387,Domestic Servitude,6219,127395,21,1,31,2025-09-10,Under Investigation,23,F
1388,Forced Marriage,140606,,3,1,9,2025-03-21,Open,27,F
1389,Forced Marriage,115094,,3,,11,2025-03-21,Prosecuted,21,F
1390,Other,68421,,17,4,10,2025-07-20,Prosecuted,40,F
1391,Sexual,142692,26111,20,1,12,2025-06-06,Closed,28,F
1392,Labor,65545,96992,26,10,33,2025-01-21,Under Investigation,42,M
1393,Labor,141285,3517,6,4,9,2025-10-21,Prosecuted,43,M
1394,Labor,94671,,1,,10,2025-05-09,Convicted,21,M
1395,Labor,1397,127962,2,10,10,2025-08-09,Prosecuted,22,M
1396,Labor,130285,,26,4,10,2025-11-02,Under Investigation,43,M
1397,Labor,100930,,3,10,10,2025-08-13,Under Investigation,44,F
1398,Labor,12404,86296,26,4,31,2025-04-27,Convicted,29,F
1399,Other,50948,,3,12,8,2025-03-21,Prosecuted,43,M
1400,Other,76360,,16,,8,2025-05-16,Under Investigation,29,M
1401,Forced Marriage,116554,,1,1,10,2025-02-19,Under Investigation,23,F
1402,Other,33824,,18,4,9,2025-02-12,Prosecuted,35,M
1403,Labor,,,3,,9,2025-02-17,Closed,30,M
1404,Domestic Servitude,149901,83850,26,10,10,2025-09-05,Prosecuted,43,F
1405,Other,78479,84436,18,4,8,2025-10-01,Under Investigation,46,M
1406,Labor,33694,,1,10,32,2025-02-24,Closed,50,M
1407,Debt Bondage,144158,,3,1,1,2025-04-18,Under Investigation,52,M
1408,Child,63004,76974,3,4,10,2025-02-27,Closed,9,F
1409,Child,14542,104291,1,4,9,2025-02-07,Prosecuted,13,F
1410,Domestic Servitude,97192,,26,10,10,2025-07-18,Open,38,F
1411,Forced Marriage,,10819,3,10,11,2025-12-13,Closed,30,F
1412,Labor,40476,118938,3,1,9,2025-05-25,Prosecuted,46,M
1413,Domestic Servitude,95977,38113,26,15,33,2025-04-17,Prosecuted,35,F
1414,Labor,7249,90867,2,1,10,2025-09-04,Closed,23,M
1415,Child,90293,36183,22,1,10,2025-12-01,Prosecuted,9,F
1416,Sexual,60248,,6,,10,2025-03-12,Acquitted,31,F
1417,Debt Bondage,7437,104613,26,,1,2025-03-11,Open,33,F
1418,Labor,94143,55236,26,1,33,2025-08-05,Closed,38,M
1419,Other,89097,,6,,9,2025-08-04,Acquitted,18,M
1420,Domestic Servitude,34338,107881,26,15,33,2025-10-06,Under Investigation,45,F
1421,Child,108139,,3,4,4,2025-03-08,Prosecuted,6,F
1422,Other,106992,,18,4,8,2025-10-15,Closed,31,F
1423,Child,83632,,18,4,4,2025-03-05,Under Investigation,5,F
1424,Debt Bondage,2671,33143,6,1,10,2025-12-07,Open,51,M
1425,Domestic Servitude,119232,,26,1,31,2025-08-08,Under Investigation,28,F
1426,Forced Marriage,45622,45583,1,,11,2025-01-06,Under Investigation,23,F
1427,Child,116825,,1,,9,2025-10-16,Closed,16,M
1428,Labor,67705,74147,26,,34,2025-06-04,Under Investigation,33,M
1429,Debt Bondage,6040,,3,1,1,2025-06-18,Under Investigation,37,M
1430,Debt Bondage,,130815,26,1,9,2025-06-08,Open,34,M
1431,Labor,101560,,3,10,9,2025-10-19,Closed,45,M
1432,Organ,14245,,6,,1,2025-08-07,Closed,34,M
1433,Sexual,30456,118963,22,,10,2025-06-26,Under Investigation,16,F
1434,Other,107318,145982,16,1,8,2025-11-09,Prosecuted,48,F
1435,Child,30567,,3,4,10,2025-08-05,Closed,5,F
1436,Labor,41351,65304,3,4,33,2025-02-19,Open,50,M
1437,Labor,114083,,2,,9,2025-01-05,Closed,24,M
1438,Forced Marriage,18582,,6,1,8,2025-03-27,Under Investigation,19,F
1439,Organ,41121,96221,3,,1,2025-03-06,Under Investigation,33,M
1440,Organ,52288,91344,3,,1,2025-07-15,Under Investigation,25,F
1441,Sexual,551,38508,22,1,10,2025-04-01,Closed,18,M
1442,Domestic Servitude,18637,,26,10,10,2025-05-27,Under Investigation,29,F
1443,Forced Marriage,3033,132182,1,1,11,2025-01-21,Prosecuted,24,F
1444,Organ,5053,,3,,1,2025-11-25,Open,39,M
1445,Labor,100036,,26,,33,2025-09-15,Closed,18,M
1446,Labor,108371,68715,6,,31,2025-04-13,Prosecuted,40,M
1447,Domestic Servitude,148111,142447,6,1,10,2025-09-26,Open,25,F
1448,Child,41171,8112,3,,9,2025-05-09,Convicted,8,F
1449,Domestic Servitude,41953,132909,26,,31,2025-04-24,Under Investigation,23,M
1450,Domestic Servitude,68172,144422,28,15,9,2025-09-23,Convicted,38,F
1451,Domestic Servitude,134464,54383,6,,33,2025-11-24,Convicted,27,F
1452,Domestic Servitude,144743,41077,21,10,33,2025-01-20,Under Investigation,43,F
1453,Sexual,7082,36306,6,12,37,2025-06-21,Prosecuted,26,F
1454,Sexual,86586,61623,20,,37,2025-11-25,Prosecuted,29,F
1455,Other,139119,104883,3,,8,2025-05-16,Closed,26,M
1456,Domestic Servitude,,,26,1,33,2025-07-01,Closed,31,M
1457,Child,117829,92776,1,1,9,2025-10-17,Convicted,8,F
1458,Labor,149185,124218,1,4,9,2025-05-25,Convicted,34,F
1459,Domestic Servitude,128930,149847,6,,9,2025-12-20,Prosecuted,30,F
1460,Labor,7920,4165,26,,9,2025-01-01,Convicted,33,M
1461,Child,46270,68697,22,,9,2025-01-10,Convicted,13,M
1462,Child,14213,,1,,9,2025-05-11,Convicted,7,M
1463,Labor,22002,,6,1,33,2025-07-11,Under Investigation,37,M
1464,Child,122103,92540,3,1,4,2025-05-01,Open,15,F
1465,Labor,86188,,26,10,32,2025-01-04,Prosecuted,30,F
1466,Organ,69325,38260,1,,1,2025-06-08,Under Investigation,33,F
1467,Labor,48260,70545,1,1,32,2025-04-08,Acquitted,35,M
1468,Debt Bondage,90026,7236,1,1,1,2025-06-15,Prosecuted,42,M
1469,Debt Bondage,25798,55633,6,1,10,2025-12-22,Convicted,36,F
1470,Organ,4391,,6,,1,2025-05-22,Prosecuted,38,M
1471,Domestic Servitude,86471,,6,,33,2025-02-14,Open,29,M
1472,Debt Bondage,83483,,1,1,1,2025-12-18,Open,32,M
1473,Debt Bondage,37361,115070,26,1,1,2025-01-23,Convicted,43,M
1474,Labor,,,3,,10,2025-04-02,Under Investigation,19,M
1475,Forced Marriage,149653,38924,3,1,9,2025-06-08,Under Investigation,24,F
1476,Sexual,23128,103067,28,,37,2025-07-10,Prosecuted,17,F
1477,Other,18756,11061,6,,8,2025-06-22,Open,28,M
1478,Labor,9937,,3,4,33,2025-09-20,Open,26,M
1479,Sexual,115145,46234,22,4,37,2025-02-23,Closed,26,F
1480,Domestic Servitude,63412,147986,6,10,9,2025-03-19,Convicted,30,F
1481,Child,115095,,18,,1,2025-08-17,Under Investigation,16,M
1482,Debt Bondage,75320,42209,3,,9,2025-08-28,Closed,32,M
1483,Labor,141951,47144,26,4,34,2025-10-20,Under Investigation,43,M
1484,Sexual,,,22,1,12,2025-08-23,Under Investigation,31,F
1485,Domestic Servitude,86231,,28,10,9,2025-12-28,Under Investigation,36,F
1486,Debt Bondage,140806,76748,1,1,1,2025-10-26,Under Investigation,54,M
1487,Domestic Servitude,,9387,28,,33,2025-04-17,Under Investigation,33,F
1488,Domestic Servitude,61040,41055,6,10,10,2025-04-12,Open,45,F
1489,Sexual,76432,43778,22,1,10,2025-01-09,Under Investigation,25,F
1490,Child,92551,,1,1,1,2025-10-22,Acquitted,6,M
1491,Child,58828,65931,18,1,9,2025-06-12,Open,10,M
1492,Child,59903,27073,1,1,9,2025-11-22,Open,13,F
1493,Forced Marriage,112475,,6,10,11,2025-11-18,Convicted,26,F
1494,Domestic Servitude,116239,87201,6,15,9,2025-12-21,Acquitted,38,F
1495,Child,56673,84416,3,1,1,2025-01-22,Open,14,F
1496,Domestic Servitude,,,28,10,33,2025-10-24,Under Investigation,20,F
1497,Child,39416,,1,1,4,2025-07-23,Open,8,F
1498,Forced Marriage,16158,124144,3,,11,2025-03-24,Convicted,25,F
1499,Child,108024,,1,4,10,2025-06-07,Acquitted,6,F
1500,Forced Marriage,106183,119830,6,1,8,2025-10-01,Prosecuted,18,F
1501,Forced Marriage,21560,,1,,9,2025-12-09,Prosecuted,27,F
1502,Debt Bondage,19231,,1,1,9,2025-10-20,Prosecuted,35,M
1503,Labor,14974,142359,2,,10,2025-12-20,Under Investigation,19,M
1504,Other,140742,3120,6,1,8,2025-03-05,Open,31,F
1505,Forced Marriage,58656,48598,6,,10,2025-10-16,Closed,25,F
1506,Labor,73256,149188,2,10,10,2025-02-25,Prosecuted,24,M
1507,Organ,44728,82533,6,,1,2025-08-16,Open,21,F
1508,Domestic Servitude,94991,,21,15,33,2025-04-03,Prosecuted,22,F
1509,Labor,3334,,6,1,9,2025-11-20,Closed,36,F
1510,Child,23811,62499,3,4,9,2025-03-26,Under Investigation,8,F
1511,Labor,70944,4067,1,,10,2025-02-06,Under Investigation,29,M
1512,Labor,106312,,3,10,9,2025-07-08,Open,25,M
1513,Labor,17315,61311,26,,32,2025-10-11,Under Investigation,44,M
1514,Organ,140198,124912,1,,1,2025-09-23,Prosecuted,36,M
1515,Domestic Servitude,42520,23870,21,,9,2025-07-18,Under Investigation,23,F
1516,Debt Bondage,36083,,6,1,9,2025-09-11,Closed,46,M
1517,Child,6249,112509,22,1,4,2025-05-15,Under Investigation,9,M
1518,Labor,58717,,2,1,32,2025-07-14,Prosecuted,44,M
1519,Domestic Servitude,77620,105689,26,15,9,2025-01-21,Closed,23,F
1520,Other,79570,68148,18,12,9,2025-12-09,Convicted,49,M
1521,Organ,58552,43988,6,,1,2025-03-02,Closed,24,M
1522,Forced Marriage,4272,,1,10,10,2025-05-01,Under Investigation,21,F
1523,Sexual,81197,75571,6,12,8,2025-11-25,Open,25,F
1524,Other,76453,133966,16,1,8,2025-08-10,Under Investigation,40,M
1525,Sexual,9590,,22,4,10,2025-07-07,Under Investigation,20,F
1526,Child,37854,139839,22,4,4,2025-01-23,Under Investigation,11,F
1527,Labor,71621,119958,3,1,9,2025-04-10,Closed,21,M
1528,Forced Marriage,,137215,3,10,8,2025-09-16,Prosecuted,14,F
1529,Organ,146991,,3,,1,2025-02-12,Prosecuted,48,M
1530,Debt Bondage,144602,,6,,10,2025-04-21,Closed,16,F
1531,Child,139158,,1,4,1,2025-05-13,Under Investigation,5,M
1532,Organ,102678,32654,1,,1,2025-07-06,Closed,27,M
1533,Child,69606,148725,22,1,9,2025-07-27,Closed,11,M
1534,Labor,86355,101624,3,4,32,2025-06-19,Prosecuted,19,M
1535,Labor,128946,,26,1,10,2025-06-14,Convicted,46,F
1536,Organ,84699,126345,1,,1,2025-02-12,Closed,38,M
