crossing_id,detected_date,location_name,nearest_port_id,latitude,longitude,direction,detection_method,group_size,smuggler_linked,apprehended_count,outcome,lead_traveler_id,nationality_id
7371,2025-03-11 10:49:00,Makran coast - Ormara,38,25.182364,64.670059,Inbound,Informant,3,1,0,Turned Back,46603,3
7372,2025-09-19 17:13:00,Khyber Pass - off-road crossing,33,34.098283,71.080063,Inbound,Drone,3,1,1,Partial Capture,,3
7373,2025-06-11 22:08:00,Khyber Pass - off-road crossing,33,34.070453,71.026689,Outbound,Drone,1,0,0,Escaped,50502,3
7374,2025-07-04 19:33:00,Makran coast - Jiwani,39,25.006615,61.718534,Inbound,Patrol,2,1,2,Apprehended,69354,1
7375,2025-06-26 06:01:00,Spin Boldak corridor,34,30.95506,66.47999,Inbound,Drone,30,1,0,Escaped,,3
7376,2025-01-11 08:52:00,Makran coast - Jiwani,39,25.026368,61.797131,Inbound,Drone,5,1,0,Turned Back,,18
7377,2025-12-14 15:51:00,Khyber Pass - off-road crossing,33,34.090936,71.094618,Outbound,Patrol,8,1,8,Apprehended,92787,3
7378,2025-07-14 00:40:00,Khunjerab Pass area,37,36.800439,75.395252,Inbound,Tip-Off,2,0,0,Turned Back,,5
7379,2025-12-24 19:01:00,Wagah border - Agricultural zone,35,31.596971,74.61459,Outbound,Informant,3,1,0,Escaped,,2
7380,2025-04-25 00:53:00,Karachi coastal - Ibrahim Hyderi,38,24.768581,67.117467,Inbound,Tip-Off,1,0,0,Turned Back,,6
7381,2025-08-26 04:18:00,Torkham vicinity - South sector,33,34.08024,71.136438,Outbound,Patrol,8,0,1,Partial Capture,13784,3
7382,2025-01-21 01:12:00,Torkham vicinity - North sector,33,34.126012,71.076552,Outbound,Patrol,8,1,8,Apprehended,72338,3
7383,2025-04-13 23:57:00,Landi Kotal area,33,34.083665,71.146929,Outbound,Informant,8,1,8,Apprehended,32994,1
7384,2025-11-10 19:31:00,Mashkel desert crossing,36,27.799482,62.970251,Outbound,Other,5,0,0,Turned Back,,3
7385,2025-01-19 05:00:00,Torkham vicinity - South sector,33,34.069344,71.080462,Inbound,Checkpoint,1,0,1,Apprehended,,1
7386,2025-10-05 03:00:00,Chaman border - Main sector,34,30.878091,66.47383,Outbound,Tip-Off,12,1,12,Apprehended,,1
7387,2025-02-17 16:53:00,Taftan border zone,36,28.870084,61.623949,Inbound,Checkpoint,3,1,3,Apprehended,113281,4
7388,2025-10-09 16:44:00,Makran coast - Pasni,39,25.223281,63.494851,Outbound,Patrol,2,1,1,Partial Capture,59722,21
7389,2025-08-11 21:22:00,Chaman border - Western flank,34,30.835803,66.422856,Outbound,Sensor,12,0,12,Apprehended,,3
7390,2025-09-06 04:06:00,Makran coast - Jiwani,39,25.010499,61.755662,Inbound,Sensor,1,0,0,Escaped,140815,18
7391,2025-01-02 13:13:00,Torkham vicinity - South sector,33,34.093886,71.125115,Outbound,Tip-Off,30,0,30,Apprehended,69934,1
7392,2025-03-18 20:23:00,Wagah border - Agricultural zone,35,31.657879,74.551371,Inbound,Drone,1,1,1,Apprehended,8130,2
7393,2025-02-20 23:25:00,Landi Kotal area,33,34.097986,71.094591,Inbound,CCTV,8,1,8,Apprehended,,1
7394,2025-08-01 04:27:00,Torkham vicinity - North sector,33,34.1351,71.085006,Outbound,Tip-Off,5,1,0,Turned Back,15596,1
7395,2025-01-17 18:53:00,Makran coast - Pasni,39,25.254386,63.437078,Outbound,CCTV,20,0,0,Escaped,,1
7396,2025-10-14 21:45:00,Torkham vicinity - North sector,33,34.138905,71.118564,Inbound,Drone,5,1,0,Turned Back,,3
7397,2025-03-04 12:14:00,Spin Boldak corridor,34,30.902089,66.531475,Inbound,Checkpoint,20,1,20,Apprehended,27720,3
7398,2025-08-14 23:18:00,Torkham vicinity - South sector,33,34.04737,71.127103,Outbound,Tip-Off,1,0,0,Escaped,81884,1
7399,2025-05-22 01:43:00,Chaman border - Western flank,34,30.898137,66.388184,Inbound,Tip-Off,3,0,0,Turned Back,68504,3
7400,2025-08-03 04:06:00,Chaman border - Western flank,34,30.918046,66.351399,Outbound,Checkpoint,5,0,0,Escaped,,3
7401,2025-01-22 05:00:00,Landi Kotal area,33,34.115136,71.113006,Inbound,Tip-Off,12,1,12,Apprehended,65108,3
7402,2025-08-04 13:26:00,Torkham vicinity - North sector,33,34.113317,71.125203,Inbound,Drone,1,1,0,Turned Back,33502,3
7403,2025-08-23 23:53:00,Makran coast - Jiwani,39,25.095627,61.725537,Inbound,Tip-Off,20,1,0,Turned Back,,18
7404,2025-09-04 05:11:00,Torkham vicinity - South sector,33,34.031723,71.147414,Outbound,Checkpoint,5,0,0,Turned Back,,3
7405,2025-11-24 11:46:00,Landi Kotal area,33,34.116466,71.121124,Inbound,Tip-Off,5,0,0,Escaped,115171,3
7406,2025-05-03 15:09:00,Torkham vicinity - North sector,33,34.06779,71.126101,Inbound,Sensor,2,0,2,Apprehended,38761,1
7407,2025-05-10 14:14:00,Torkham vicinity - South sector,33,34.112487,71.102644,Outbound,CCTV,5,0,0,Turned Back,,1
7408,2025-10-15 15:25:00,Khyber Pass - off-road crossing,33,34.006176,71.008671,Inbound,Checkpoint,3,1,3,Apprehended,,3
7409,2025-05-06 02:29:00,Wagah border - Agricultural zone,35,31.564987,74.536812,Inbound,Tip-Off,1,0,0,Turned Back,,1
7410,2025-10-21 20:38:00,Makran coast - Jiwani,39,25.015937,61.728472,Outbound,Informant,12,1,0,Turned Back,,1
7411,2025-08-22 22:09:00,Chaman border - Main sector,34,30.943455,66.441514,Outbound,Tip-Off,5,0,5,Apprehended,,3
7412,2025-08-18 23:34:00,Landi Kotal area,33,34.061438,71.10138,Inbound,Checkpoint,3,0,3,Apprehended,52359,3
7413,2025-08-26 04:23:00,Landi Kotal area,33,34.13953,71.09186,Outbound,Informant,8,1,8,Apprehended,,3
7414,2025-08-11 20:54:00,Torkham vicinity - North sector,33,34.060963,71.03731,Inbound,Drone,5,0,0,Turned Back,,3
7415,2025-10-14 23:41:00,Chaman border - Main sector,34,30.960064,66.493104,Inbound,Checkpoint,5,0,5,Apprehended,,1
7416,2025-07-08 01:20:00,Spin Boldak corridor,34,30.909929,66.510711,Inbound,Checkpoint,20,1,20,Apprehended,,3
7417,2025-10-25 04:54:00,Torkham vicinity - North sector,33,34.054256,71.11313,Outbound,Patrol,5,0,0,Escaped,9608,1
7418,2025-12-21 21:03:00,Karachi coastal - Ibrahim Hyderi,38,24.797733,67.131366,Inbound,Informant,2,0,0,Turned Back,,22
7419,2025-03-24 21:54:00,Torkham vicinity - South sector,33,34.102322,71.070901,Outbound,Sensor,1,1,1,Apprehended,113479,3
7420,2025-01-11 02:45:00,Chaman border - Main sector,34,30.942198,66.478202,Inbound,Patrol,5,1,5,Apprehended,,3
7421,2025-08-21 18:12:00,Khyber Pass - off-road crossing,33,34.088336,71.088686,Outbound,Tip-Off,5,1,5,Apprehended,,3
7422,2025-05-03 23:07:00,Torkham vicinity - North sector,33,34.048959,71.046211,Inbound,Patrol,1,0,0,Escaped,,3
7423,2025-04-27 00:23:00,Wagah border - Agricultural zone,35,31.595468,74.594915,Inbound,Patrol,8,0,8,Apprehended,,1
7424,2025-01-23 01:48:00,Makran coast - Ormara,38,25.198221,64.662394,Outbound,Tip-Off,2,0,2,Apprehended,53322,1
7425,2025-07-01 22:40:00,Torkham vicinity - South sector,33,34.097942,71.111596,Inbound,Informant,3,1,3,Apprehended,,3
7426,2025-02-17 00:58:00,Chaman border - Main sector,34,30.878329,66.488146,Inbound,CCTV,5,0,0,Turned Back,,3
7427,2025-10-03 04:28:00,Makran coast - Jiwani,39,25.02308,61.770611,Outbound,Informant,5,0,0,Turned Back,119123,4
7428,2025-06-14 22:28:00,Torkham vicinity - North sector,33,34.06718,71.12702,Inbound,Sensor,1,0,1,Apprehended,121790,3
7429,2025-03-08 20:14:00,Makran coast - Jiwani,39,25.084421,61.716309,Outbound,Patrol,2,0,0,Turned Back,83954,3
7430,2025-12-16 02:41:00,Landi Kotal area,33,34.082711,71.093778,Inbound,Patrol,5,0,5,Apprehended,,3
7431,2025-08-28 02:01:00,Torkham vicinity - North sector,33,34.072597,71.094941,Inbound,Tip-Off,5,0,0,Turned Back,,3
7432,2025-05-02 17:24:00,Torkham vicinity - North sector,33,34.134926,71.039613,Outbound,Drone,3,0,3,Apprehended,,3
7433,2025-09-20 18:33:00,Makran coast - Pasni,39,25.228093,63.506356,Inbound,Tip-Off,8,1,8,Apprehended,119439,1
7434,2025-09-18 22:31:00,Makran coast - Ormara,38,25.253416,64.624752,Inbound,Informant,3,1,3,Apprehended,88267,1
7435,2025-03-10 22:40:00,Taftan border zone,36,28.85527,61.599881,Outbound,Sensor,5,0,0,Escaped,92056,1
7436,2025-08-15 23:03:00,Makran coast - Pasni,39,25.301339,63.485108,Inbound,Other,5,0,5,Apprehended,106469,18
7437,2025-08-12 18:46:00,Wagah border - Agricultural zone,35,31.586208,74.563254,Inbound,CCTV,1,1,1,Partial Capture,,2
7438,2025-02-23 00:14:00,Chaman border - Main sector,34,30.969339,66.427678,Inbound,Sensor,1,0,0,Escaped,,1
7439,2025-10-09 23:30:00,Torkham vicinity - North sector,33,34.085827,71.055527,Inbound,Patrol,2,0,2,Apprehended,,3
7440,2025-02-22 22:18:00,Khyber Pass - off-road crossing,33,34.000062,71.054228,Inbound,Informant,5,1,0,Turned Back,74946,3
7441,2025-09-26 20:56:00,Torkham vicinity - South sector,33,34.074461,71.061524,Outbound,Patrol,2,1,0,Escaped,,3
7442,2025-01-17 14:14:00,Chaman border - Main sector,34,30.953257,66.489135,Inbound,Tip-Off,3,0,0,Turned Back,69623,3
7443,2025-11-01 22:56:00,Spin Boldak corridor,34,30.94145,66.49259,Inbound,CCTV,3,0,0,Turned Back,,3
7444,2025-01-22 20:13:00,Chaman border - Main sector,34,30.906773,66.417718,Inbound,Sensor,8,0,8,Apprehended,141641,1
7445,2025-06-08 14:04:00,Chaman border - Main sector,34,30.957895,66.432527,Inbound,Informant,3,1,0,Turned Back,,3
7446,2025-02-03 02:23:00,Torkham vicinity - North sector,33,34.109345,71.120478,Outbound,Tip-Off,8,1,0,Turned Back,,3
7447,2025-05-12 22:54:00,Torkham vicinity - South sector,33,34.080309,71.147224,Inbound,Patrol,2,0,0,Turned Back,119112,3
7448,2025-06-06 22:03:00,Taftan border zone,36,28.942648,61.56891,Outbound,CCTV,5,1,5,Apprehended,,1
7449,2025-08-26 18:54:00,Chaman border - Main sector,34,30.960433,66.463874,Outbound,Patrol,5,0,5,Apprehended,,3
7450,2025-08-01 01:56:00,Chaman border - Main sector,34,30.912103,66.427436,Outbound,Patrol,8,1,8,Apprehended,,1
7451,2025-08-26 16:06:00,Makran coast - Jiwani,39,25.096538,61.708097,Outbound,Drone,1,1,0,Turned Back,,18
7452,2025-09-03 00:28:00,Makran coast - Pasni,39,25.280632,63.448684,Outbound,Patrol,1,0,0,Escaped,,1
7453,2025-10-03 18:44:00,Makran coast - Pasni,39,25.242392,63.459762,Inbound,Patrol,3,0,3,Apprehended,6444,21
7454,2025-07-11 21:07:00,Torkham vicinity - North sector,33,34.073954,71.106445,Inbound,Sensor,5,0,0,Turned Back,110204,3
7455,2025-09-09 22:00:00,Torkham vicinity - South sector,33,34.073119,71.074031,Inbound,Tip-Off,8,0,8,Apprehended,,3
7456,2025-12-09 18:19:00,Torkham vicinity - North sector,33,34.074808,71.035024,Outbound,Patrol,2,0,2,Apprehended,,1
7457,2025-05-11 00:01:00,Makran coast - Ormara,38,25.212905,64.635487,Inbound,Tip-Off,1,0,0,Turned Back,64556,3
7458,2025-03-11 22:51:00,Makran coast - Pasni,39,25.281121,63.427815,Inbound,Tip-Off,3,0,0,Turned Back,,18
7459,2025-11-22 01:48:00,Taftan border zone,36,28.862407,61.580192,Inbound,Checkpoint,8,0,8,Apprehended,,1
7460,2025-10-28 23:41:00,Wagah border - Agricultural zone,35,31.65362,74.577023,Outbound,Patrol,5,0,0,Turned Back,,1
7461,2025-08-11 19:42:00,Torkham vicinity - North sector,33,34.100827,71.043193,Outbound,Patrol,5,0,3,Partial Capture,,1
7462,2025-01-15 11:25:00,Makran coast - Jiwani,39,25.082159,61.724319,Inbound,Patrol,8,1,8,Apprehended,,1
7463,2025-11-06 18:22:00,Taftan border zone,36,28.934377,61.619865,Inbound,Informant,2,1,0,Escaped,,1
7464,2025-12-15 21:37:00,Makran coast - Jiwani,39,25.082863,61.777444,Inbound,Drone,1,1,1,Apprehended,99773,1
7465,2025-11-10 20:48:00,Chaman border - Main sector,34,30.934819,66.451564,Inbound,Patrol,12,0,0,Turned Back,146557,1
7466,2025-12-02 13:22:00,Khyber Pass - off-road crossing,33,34.035716,71.060487,Outbound,Tip-Off,8,1,8,Apprehended,,3
7467,2025-10-16 21:07:00,Torkham vicinity - South sector,33,34.034263,71.107143,Outbound,Checkpoint,2,0,1,Partial Capture,44538,3
7468,2025-12-04 07:01:00,Makran coast - Jiwani,39,25.057263,61.746776,Inbound,Patrol,5,0,1,Partial Capture,140783,4
7469,2025-12-22 04:07:00,Spin Boldak corridor,34,30.964203,66.508156,Outbound,Sensor,8,1,8,Apprehended,,3
7470,2025-06-20 22:09:00,Torkham vicinity - South sector,33,34.042883,71.073036,Inbound,Checkpoint,3,0,3,Apprehended,,1
7471,2025-06-27 03:39:00,Makran coast - Jiwani,39,25.074302,61.734152,Inbound,Drone,1,0,1,Apprehended,,1
7472,2025-12-11 22:12:00,Makran coast - Pasni,39,25.281985,63.500001,Outbound,Tip-Off,2,0,1,Partial Capture,,1
7473,2025-05-25 16:20:00,Taftan border zone,36,28.859172,61.624169,Outbound,Tip-Off,8,1,8,Apprehended,34645,1
7474,2025-01-19 17:56:00,Taftan border zone,36,28.946904,61.607541,Outbound,Checkpoint,2,0,2,Apprehended,,4
7475,2025-08-06 18:02:00,Torkham vicinity - South sector,33,34.058983,71.054154,Inbound,Tip-Off,3,0,3,Apprehended,,3
7476,2025-03-16 19:19:00,Spin Boldak corridor,34,30.97743,66.464555,Inbound,Patrol,3,0,0,Escaped,,3
7477,2025-06-15 12:18:00,Wagah border - Agricultural zone,35,31.614051,74.617873,Outbound,Checkpoint,5,0,0,Turned Back,7077,2
7478,2025-04-21 03:37:00,Chaman border - Main sector,34,30.874672,66.439036,Outbound,Tip-Off,3,1,0,Turned Back,,3
7479,2025-09-04 03:26:00,Makran coast - Ormara,38,25.209049,64.615314,Inbound,Sensor,5,1,0,Turned Back,39496,1
7480,2025-01-20 03:21:00,Torkham vicinity - South sector,33,34.046109,71.107876,Inbound,Patrol,1,0,0,Escaped,8549,3
7481,2025-12-13 19:54:00,Chaman border - Main sector,34,30.882205,66.48407,Outbound,Tip-Off,8,1,8,Apprehended,83890,3
7482,2025-07-20 00:27:00,Chaman border - Western flank,34,30.863435,66.413308,Inbound,Patrol,12,1,12,Apprehended,87917,3
7483,2025-02-06 19:02:00,Chaman border - Main sector,34,30.928637,66.460531,Inbound,Patrol,5,0,5,Apprehended,,3
7484,2025-08-05 15:31:00,Makran coast - Pasni,39,25.280602,63.463018,Outbound,Informant,20,0,0,Escaped,28799,18
7485,2025-06-15 21:30:00,Torkham vicinity - South sector,33,34.02908,71.079879,Outbound,Checkpoint,3,1,3,Apprehended,,3
7486,2025-07-14 01:02:00,Landi Kotal area,33,34.111321,71.099909,Inbound,Patrol,3,0,3,Apprehended,60159,1
7487,2025-07-26 02:04:00,Chaman border - Main sector,34,30.967412,66.430071,Inbound,Informant,12,0,12,Apprehended,,3
7488,2025-11-03 00:28:00,Chaman border - Western flank,34,30.913258,66.380285,Inbound,Patrol,8,0,4,Partial Capture,,3
7489,2025-03-19 22:45:00,Chaman border - Western flank,34,30.90697,66.402815,Outbound,Tip-Off,2,0,2,Apprehended,,3
7490,2025-07-01 21:20:00,Torkham vicinity - North sector,33,34.117407,71.030588,Outbound,Tip-Off,2,0,2,Apprehended,,3
7491,2025-07-19 21:10:00,Taftan border zone,36,28.864835,61.612252,Inbound,Patrol,3,0,3,Apprehended,,1
7492,2025-11-26 16:43:00,Spin Boldak corridor,34,30.906628,66.470213,Inbound,Tip-Off,5,0,5,Apprehended,42234,3
7493,2025-12-20 10:17:00,Khyber Pass - off-road crossing,33,34.066687,71.031984,Outbound,Informant,12,1,12,Apprehended,,3
7494,2025-08-23 21:03:00,Makran coast - Pasni,39,25.236622,63.450889,Inbound,Informant,2,1,0,Escaped,,21
7495,2025-03-13 21:07:00,Torkham vicinity - North sector,33,34.050521,71.057037,Inbound,Patrol,2,0,2,Apprehended,110945,3
7496,2025-09-27 16:14:00,Chaman border - Main sector,34,30.958998,66.444029,Inbound,Informant,8,1,1,Partial Capture,21782,3
7497,2025-05-02 03:33:00,Torkham vicinity - North sector,33,34.121423,71.124903,Inbound,Patrol,12,1,0,Escaped,,1
7498,2025-01-12 20:59:00,Mashkel desert crossing,36,27.849892,63.02105,Outbound,Drone,3,1,3,Apprehended,78964,3
7499,2025-07-13 16:33:00,Chaman border - Western flank,34,30.905228,66.438453,Inbound,Patrol,1,0,1,Apprehended,,3
7500,2025-08-17 21:15:00,Chaman border - Main sector,34,30.934708,66.432872,Inbound,Checkpoint,8,1,8,Apprehended,,1
7501,2025-08-24 20:42:00,Chaman border - Main sector,34,30.935743,66.424042,Outbound,Patrol,5,1,5,Apprehended,,3
7502,2025-06-27 22:42:00,Mashkel desert crossing,36,27.783882,63.009259,Outbound,Tip-Off,5,1,0,Escaped,,4
7503,2025-08-19 02:48:00,Torkham vicinity - North sector,33,34.051207,71.079242,Inbound,Patrol,8,0,0,Turned Back,,3
7504,2025-01-10 01:33:00,Kasur sector,35,31.123539,74.448964,Outbound,CCTV,12,1,12,Apprehended,,2
7505,2025-12-13 16:07:00,Wagah border - Agricultural zone,35,31.643535,74.55016,Inbound,Patrol,1,1,0,Escaped,,2
7506,2025-12-07 22:15:00,Torkham vicinity - South sector,33,34.107727,71.146532,Inbound,CCTV,2,1,2,Apprehended,,1
7507,2025-02-22 22:36:00,Chaman border - Western flank,34,30.898651,66.437539,Inbound,Patrol,2,0,0,Turned Back,,3
7508,2025-01-02 22:00:00,Mashkel desert crossing,36,27.816605,62.995713,Outbound,Tip-Off,12,1,0,Escaped,,4
7509,2025-08-13 02:58:00,Torkham vicinity - North sector,33,34.121818,71.04191,Outbound,Drone,1,1,1,Apprehended,,3
7510,2025-03-27 20:01:00,Chaman border - Main sector,34,30.902416,66.505358,Inbound,Drone,5,0,5,Apprehended,,1
7511,2025-02-26 02:46:00,Spin Boldak corridor,34,30.934043,66.537035,Outbound,Informant,3,0,0,Escaped,148128,3
7512,2025-06-24 19:41:00,Chaman border - Main sector,34,30.88218,66.500914,Inbound,Patrol,3,0,2,Partial Capture,26517,3
7513,2025-06-11 16:02:00,Chaman border - Main sector,34,30.873266,66.442195,Inbound,Patrol,5,0,5,Apprehended,67645,1
7514,2025-10-07 21:30:00,Makran coast - Ormara,38,25.200535,64.614917,Inbound,Patrol,3,1,0,Escaped,111066,1
7515,2025-11-10 16:21:00,Makran coast - Ormara,38,25.1766,64.638461,Outbound,Sensor,3,0,3,Apprehended,,1
7516,2025-07-01 19:50:00,Wagah border - Agricultural zone,35,31.569946,74.535749,Inbound,Checkpoint,3,1,0,Turned Back,,1
7517,2025-11-04 22:12:00,Chaman border - Main sector,34,30.893286,66.459837,Outbound,CCTV,2,1,0,Turned Back,64169,3
7518,2025-02-20 17:15:00,Khyber Pass - off-road crossing,33,34.021691,71.035771,Outbound,CCTV,1,0,1,Apprehended,,3
7519,2025-06-04 16:40:00,Torkham vicinity - South sector,33,34.115311,71.137742,Inbound,Sensor,3,0,3,Apprehended,114207,1
7520,2025-06-24 01:32:00,Chaman border - Main sector,34,30.958193,66.437144,Inbound,Tip-Off,5,0,4,Partial Capture,84100,3
7521,2025-08-25 19:09:00,Torkham vicinity - North sector,33,34.083408,71.083242,Inbound,Informant,5,1,0,Escaped,,3
7522,2025-03-15 05:02:00,Chaman border - Western flank,34,30.893335,66.398947,Inbound,Drone,5,1,0,Turned Back,,3
7523,2025-06-02 02:57:00,Khyber Pass - off-road crossing,33,34.022069,71.099251,Outbound,Tip-Off,12,1,0,Turned Back,8328,3
7524,2025-07-09 00:57:00,Taftan border zone,36,28.88026,61.588638,Inbound,Checkpoint,12,1,12,Apprehended,18716,1
7525,2025-02-02 00:46:00,Karachi coastal - Ibrahim Hyderi,38,24.820143,67.14908,Outbound,Tip-Off,2,1,2,Apprehended,16786,1
7526,2025-08-15 03:29:00,Torkham vicinity - South sector,33,34.05338,71.087998,Outbound,Drone,5,1,5,Apprehended,119450,1
7527,2025-01-06 15:54:00,Torkham vicinity - South sector,33,34.030769,71.062927,Outbound,Drone,1,0,1,Apprehended,,1
7528,2025-08-03 21:07:00,Khyber Pass - off-road crossing,33,34.057871,71.079529,Outbound,Drone,8,0,8,Apprehended,70516,3
7529,2025-01-11 01:04:00,Torkham vicinity - South sector,33,34.058131,71.139284,Outbound,Informant,5,1,5,Apprehended,47929,3
7530,2025-11-26 05:31:00,Torkham vicinity - North sector,33,34.122564,71.061425,Outbound,Patrol,5,0,2,Partial Capture,117598,3
7531,2025-01-24 14:00:00,Taftan border zone,36,28.920733,61.646354,Outbound,Drone,1,0,1,Apprehended,,1
7532,2025-10-01 16:26:00,Chaman border - Western flank,34,30.884365,66.353612,Inbound,Tip-Off,5,0,1,Partial Capture,,3
7533,2025-02-25 23:41:00,Chaman border - Main sector,34,30.935462,66.487871,Outbound,Drone,2,0,2,Apprehended,66849,1
7534,2025-01-15 00:46:00,Torkham vicinity - South sector,33,34.02467,71.107574,Inbound,Tip-Off,20,1,0,Escaped,123155,3
7535,2025-07-14 19:05:00,Makran coast - Jiwani,39,25.080017,61.709286,Inbound,Patrol,30,1,30,Apprehended,,4
7536,2025-03-27 22:41:00,Karachi coastal - Ibrahim Hyderi,38,24.828559,67.120509,Inbound,Informant,2,0,0,Turned Back,,22
7537,2025-10-06 22:33:00,Kasur sector,35,31.133687,74.487196,Inbound,Patrol,12,1,1,Partial Capture,35966,2
7538,2025-04-23 20:38:00,Mashkel desert crossing,36,27.782509,63.002123,Outbound,Other,1,0,1,Partial Capture,72879,3
7539,2025-03-02 01:40:00,Torkham vicinity - North sector,33,34.065822,71.036428,Outbound,Tip-Off,2,0,2,Apprehended,,3
7540,2025-05-15 04:21:00,Chaman border - Main sector,34,30.90984,66.421531,Inbound,Informant,8,1,4,Partial Capture,125884,1
7541,2025-11-16 20:01:00,Kasur sector,35,31.079395,74.427416,Outbound,Patrol,3,0,3,Apprehended,,2
7542,2025-08-19 03:43:00,Mashkel desert crossing,36,27.840465,62.963059,Inbound,Other,8,1,8,Apprehended,89655,4
7543,2025-06-27 20:00:00,Torkham vicinity - South sector,33,34.042568,71.135707,Outbound,Drone,2,1,2,Apprehended,,3
7544,2025-12-02 20:32:00,Landi Kotal area,33,34.112171,71.136712,Inbound,CCTV,2,1,2,Apprehended,91082,3
7545,2025-12-01 23:59:00,Chaman border - Main sector,34,30.910452,66.503709,Inbound,Tip-Off,2,0,2,Apprehended,,3
7546,2025-07-23 12:04:00,Chaman border - Western flank,34,30.854191,66.449448,Inbound,Sensor,1,1,1,Apprehended,,3
7547,2025-10-14 03:16:00,Makran coast - Jiwani,39,25.0542,61.717062,Inbound,Sensor,3,1,3,Apprehended,129842,18
7548,2025-07-11 19:19:00,Torkham vicinity - South sector,33,34.065812,71.056456,Inbound,Drone,2,1,0,Escaped,112721,1
7549,2025-02-04 11:10:00,Spin Boldak corridor,34,30.956694,66.462199,Inbound,Tip-Off,1,1,1,Apprehended,,3
7550,2025-06-06 02:29:00,Chaman border - Western flank,34,30.926126,66.401754,Outbound,Checkpoint,3,1,2,Partial Capture,,3
7551,2025-11-06 01:25:00,Makran coast - Jiwani,39,25.030353,61.74109,Inbound,Tip-Off,2,1,2,Apprehended,141416,4
7552,2025-10-06 17:28:00,Wagah border - Agricultural zone,35,31.594691,74.54836,Inbound,Sensor,2,0,2,Apprehended,,1
7553,2025-11-12 18:39:00,Khunjerab Pass area,37,36.841659,75.459778,Outbound,Patrol,5,0,5,Apprehended,662,5
7554,2025-08-12 11:38:00,Spin Boldak corridor,34,30.954336,66.46851,Inbound,Drone,1,0,1,Apprehended,,3
7555,2025-10-01 01:07:00,Torkham vicinity - South sector,33,34.067137,71.070777,Inbound,Tip-Off,5,1,5,Apprehended,,1
7556,2025-04-07 00:24:00,Khyber Pass - off-road crossing,33,34.083115,71.070214,Inbound,Drone,12,1,12,Apprehended,,3
7557,2025-02-23 04:40:00,Mashkel desert crossing,36,27.750841,62.957977,Inbound,Drone,2,0,2,Apprehended,,3
7558,2025-09-14 16:25:00,Khyber Pass - off-road crossing,33,34.073125,71.062172,Inbound,Sensor,3,0,0,Turned Back,,3
7559,2025-01-21 23:42:00,Torkham vicinity - North sector,33,34.074604,71.096206,Inbound,Other,5,0,2,Partial Capture,,1
7560,2025-01-25 02:35:00,Khunjerab Pass area,37,36.858399,75.438512,Inbound,CCTV,30,1,30,Apprehended,,43
7561,2025-03-20 20:02:00,Chaman border - Main sector,34,30.906479,66.450024,Inbound,Informant,5,0,0,Turned Back,,3
7562,2025-02-08 22:26:00,Chaman border - Western flank,34,30.857267,66.442392,Inbound,Tip-Off,2,0,0,Escaped,63468,3
7563,2025-10-14 21:07:00,Khyber Pass - off-road crossing,33,34.025097,71.023777,Inbound,Drone,3,1,0,Turned Back,17417,3
7564,2025-12-10 20:26:00,Spin Boldak corridor,34,30.912901,66.521392,Outbound,Informant,2,0,0,Turned Back,21948,3
7565,2025-08-18 20:06:00,Chaman border - Western flank,34,30.912685,66.402093,Outbound,Patrol,30,0,0,Escaped,,3
7566,2025-09-14 14:25:00,Torkham vicinity - North sector,33,34.073383,71.116859,Inbound,Patrol,2,0,0,Turned Back,127683,3
7567,2025-01-03 03:25:00,Spin Boldak corridor,34,30.959474,66.486291,Outbound,Sensor,3,0,3,Apprehended,97511,3
7568,2025-11-27 03:34:00,Makran coast - Jiwani,39,25.079252,61.718546,Inbound,Patrol,20,0,4,Partial Capture,,4
7569,2025-04-28 04:57:00,Torkham vicinity - North sector,33,34.094987,71.086657,Outbound,Other,5,1,4,Partial Capture,,1
7570,2025-03-25 18:49:00,Torkham vicinity - North sector,33,34.126525,71.048942,Outbound,Patrol,5,0,5,Apprehended,49413,3
7571,2025-11-17 14:33:00,Khunjerab Pass area,37,36.885095,75.463671,Inbound,Patrol,2,0,0,Escaped,,5
7572,2025-10-15 15:15:00,Torkham vicinity - North sector,33,34.065683,71.039878,Inbound,Patrol,12,1,12,Apprehended,,1
7573,2025-08-10 16:44:00,Chaman border - Western flank,34,30.863778,66.359257,Inbound,Informant,1,0,1,Apprehended,,3
7574,2025-11-18 00:48:00,Chaman border - Main sector,34,30.949426,66.49431,Outbound,Patrol,3,0,0,Turned Back,15255,1
7575,2025-06-03 05:44:00,Torkham vicinity - North sector,33,34.067195,71.043266,Inbound,Patrol,5,1,0,Turned Back,67697,3
7576,2025-02-05 23:26:00,Landi Kotal area,33,34.114683,71.188363,Inbound,Patrol,20,0,5,Partial Capture,101756,1
7577,2025-05-18 22:06:00,Chaman border - Western flank,34,30.911786,66.403636,Inbound,Other,2,0,0,Turned Back,130522,3
7578,2025-02-23 20:24:00,Makran coast - Ormara,38,25.223107,64.619444,Inbound,Drone,3,1,3,Apprehended,108208,4
7579,2025-06-08 02:54:00,Chaman border - Main sector,34,30.954088,66.426266,Inbound,Tip-Off,20,1,20,Apprehended,79242,1
7580,2025-01-07 00:47:00,Torkham vicinity - North sector,33,34.104448,71.118593,Inbound,Tip-Off,2,0,0,Escaped,42647,1
